Track_name;Duration;Album;Album_date;Collection;Coll_date;Genre;Artist
Take back the power;247;Take back the power;2020;MyTracks;2019;Soul;Raury
The green and the Town;305;Living Room;2015;MyTracks;2019;IndiPop;AJR
Bummerland;189;OK ORCHESTRA;2021;BestTracks21;2021;IndiPop;AJR
Majesty;267;Requiem;2018;DanceCollection;2018;Electro;Apashe
Lacrimosa;217;Requiem;2018;DanceCollection;2018;Electro;Apashe
Discovery;209;Discovery;2017;ChillCollection;2020;Liquid;Aljosha Konstanty
Zeitgeist;205;Discovery;2017;ChillCollection;2020;Liquid;Aljosha Konstanty
Souvenir;496;Chroniques Variees;2012;GrooveCollection;2017;House;N'to
Metaphore;331;Chroniques Variees;2012;GrooveCollection;2017;House;Woracls
99;156;Selection 5 Estrellas Black;2017;Funny;2021;Country;Creedence Clearwater Revival
Нити;247;Нити;2019;Russian;2020;Indi;Наша Таня
Hindenburg Lover;302;Songs I Wrote in my Bedroom;2020;Sad;2019;Bard;Anson Seabra
Прощай. Прости.;250;Привязанность;2019;Russian;2020;Pop;Лера Яскевич
Turning Out;260;The click;2018;Sad;2019;IndiPop;AJR
Weak;200;The click;2018;Funny;2021;Electro;AJR
Three-Thirty;210;The click;2018;Funny;2021;Electro;AJR
Love Mode;145;Love Mode;2016;ChillCollection;2020;Chillhop;Joakim Karud
Glenlivet Reel;262;Nine Branches;2019;GrooveCollection;2017;D&B;Drumspyder
Third;285;Third;2015;ChillCollection;2020;Chill;Hiatus
Take back the power;247;Take back the power;2020;ChillCollection;2019;Soul;Raury
Weak;200;The click;2018;GrooveCollection;2021;Electro;AJR
Three-Thirty;210;The click;2018;DanceCollection;2021;Electro;AJR
